source_table,object_id,host_id,disposition,period_days,duration_hours,depth_ppm,planet_radius_rearth,stellar_teff,stellar_radius_solar,stellar_logg
KOI,K07634.01,2569995,CANDIDATE,80.84069,8.567,9326.0,15.11,5511.0,1.597,4.069
KOI,K00623.02,12068975,CONFIRMED,15.67750191,5.5082,115.5,1.42,6003.0,1.109,4.303
KOI,K00623.03,12068975,CONFIRMED,5.59931543,3.8944,84.8,1.22,6003.0,1.109,4.303
KOI,K00623.04,12068975,CONFIRMED,25.2100146,6.553,62.1,0.95,6003.0,1.109,4.303
KOI,K00624.01,3541946,CONFIRMED,17.79001678,4.4116,871.4,2.7,5569.0,0.927,4.474
KOI,K00624.02,3541946,CONFIRMED,49.5674085,4.002,730.0,2.91,5569.0,0.927,4.474
KOI,K00098.01,10264660,CONFIRMED,6.790120801,6.0437,2302.3,9.86,6372.0,2.001,3.954
KOI,K00675.01,7385509,FALSE POSITIVE,1.655467295,3.2424,1059.4,2.17,4583.0,0.695,4.6
KOI,K00676.01,7447200,CONFIRMED,7.972510087,2.9754,3139.0,3.22,3912.0,0.533,4.728
KOI,K00676.02,7447200,CONFIRMED,2.453236139,1.6691,1723.2,2.26,3912.0,0.533,4.728
KOI,K00677.01,7466863,FALSE POSITIVE,11.9710626,2.7607,421.8,5.84,6312.0,1.464,4.127
KOI,K00678.01,7509886,CONFIRMED,6.0404622,1.98,241.0,1.3,5297.0,0.825,4.578
KOI,K00678.02,7509886,CONFIRMED,4.13852825,2.281,256.5,1.3,5297.0,0.825,4.578
KOI,K00723.01,10002866,CONFIRMED,3.936993144,1.887,1266.0,3.36,5431.0,0.843,4.563
KOI,K00723.02,10002866,CONFIRMED,28.08185982,4.5288,1840.3,3.63,5431.0,0.843,4.563
KOI,K00111.02,6678383,CONFIRMED,23.66834635,5.8297,449.4,2.32,5979.0,1.005,4.394
KOI,K00723.03,10002866,CONFIRMED,10.08881066,1.7726,1995.9,4.71,5431.0,0.843,4.563
KOI,K07635.01,2577353,CANDIDATE,60.458443,8.43,175.2,1.59,5865.0,1.181,4.297
KOI,K00724.01,10005020,FALSE POSITIVE,6.97106919,3.9125,452.8,2.07,5871.0,0.983,4.493
KOI,K00624.03,3541946,CONFIRMED,1.311842968,1.7876,245.1,1.43,5569.0,0.927,4.474
KOI,K00626.01,4478168,CONFIRMED,14.58649856,4.0249,378.7,2.45,6063.0,1.191,4.29
