period_days,duration_hours,depth_ppm,planet_radius_rearth,stellar_teff,stellar_radius_solar,stellar_logg,disposition
2.090811305,3.388,115.9,1.62,5739.0,1.384,4.191,2
3.180027898,3.5797,120.3,1.53,5847.0,1.402,4.191,2
50.4467417,7.159,370.3,2.67,5739.0,1.384,4.191,2
11.76307164,2.9076,1037.3,2.35,4959.0,0.756,4.603,2
56.2279271,3.57,862.7,2.37,4959.0,0.756,4.603,2
2.384052875,3.0918,1268.1,17.06,4794.0,0.701,4.58,0
7.953547,2.6312,875.4,2.25,4768.0,0.779,4.536,2
4.14451656,2.3421,391.8,1.48,4768.0,0.779,4.536,2
10.526294577,2.5211,9768.0,8.24,5386.0,0.793,4.553,2
4.583520948,2.7055,3812.1,5.39,5815.0,0.877,4.54,2
3.76181843,3.5176,510.6,2.66,5653.0,0.949,4.472,2
8.20396958,2.9667,1024.4,3.01,5015.0,0.826,4.499,2
14.49645186,4.016,647.5,3.01,5015.0,0.826,4.499,2
6.54626149,2.75,655.9,2.19,5251.0,0.817,4.581,2
12.71809866,3.0957,1149.4,2.31,4702.0,0.686,4.592,2
36.06588163,4.3246,1563.8,2.64,4702.0,0.686,4.592,2
4.190425659,2.8589,2877.4,6.21,6073.0,1.135,4.392,2
3.709870784,3.0694,2020.3,4.35,5727.0,0.978,4.463,2
16.3297527,6.271,1187.5,3.75,5878.0,0.987,4.444,2
27.807566216,4.21587,25391.0,13.84,5862.0,0.785,4.584,2
80.8723469,11.195,3604.6,7.59,5510.0,1.238,4.222,2
24.99324319,5.9409,269.6,2.29,5718.0,1.317,4.181,2
10.35533116,3.1775,750.6,2.47,5501.0,0.918,4.462,2
16.08518937,3.984,1442.4,3.68,5239.0,0.826,4.523,2
235.9986399,8.2284,20715.0,10.59,4245.0,0.657,4.627,1
7.49018305,2.7297,1123.6,2.56,5103.0,0.787,4.562,2
36.2761238,4.7865,1572.6,3.03,5103.0,0.787,4.562,2
17.46087931,2.2641,812.4,2.32,5103.0,0.787,4.562,2
56.0560754,4.685,1626.0,1.94,3593.0,0.491,4.757,2
41.408316686,5.0264,22839.0,11.38,5522.0,0.747,4.586,2
39.74893077,7.3051,15179.0,14.21,6122.0,0.964,4.487,1
5.715425977,2.5242,908.1,2.47,5237.0,0.826,4.572,2
49.18394185,11.3364,1646.2,8.2,5626.0,2.057,3.907,2
20.0261412,1.611,421.2,2.28,5237.0,0.826,4.572,2
13.61014819,2.594,5732.9,19.02,5697.0,0.903,4.46,1
10.44331991,2.743,1159.8,2.66,4947.0,0.802,4.516,0
2.237489571,1.8119,315.8,1.41,5265.0,0.81,4.58,2
5.851520671,3.11058,33004.0,14.62,5532.0,0.806,4.53,0
3.167893418,2.1814,781.2,2.62,5895.0,0.94,4.503,2
4.311780262,2.7251,1154.0,3.11,5527.0,0.927,4.484,2
20.0504494,4.556,840.9,2.69,5527.0,0.927,4.484,2
9.76734503,1.6585,569.1,2.67,5527.0,0.927,4.484,2
119.0207044,8.1405,7430.5,8.98,5453.0,1.062,4.342,1
190.3200468,15.284,1141.7,7.78,5626.0,2.057,3.907,2
2.861159894,1.8832,1014.3,4.37,6126.0,1.021,4.458,0
26.44439337,3.9783,1843.5,3.91,5427.0,0.929,4.463,2
51.53997972,6.3994,3644.3,5.51,5427.0,0.929,4.463,2
5.902245782,2.9003,702.3,2.43,5427.0,0.929,4.463,2
2.382951591,1.8876,391.6,1.86,5427.0,0.929,4.463,2
21.02250608,4.1072,1772.5,3.07,5067.0,0.75,4.585,2
3.219814777,2.0642,488.2,1.69,5103.0,0.787,4.562,2
5.912273234,2.3254,961.4,1.73,4072.0,0.57,4.696,2
8.98581901,2.8606,881.3,1.65,4072.0,0.57,4.696,2
20.5452375,2.517,218.5,2.41,5670.0,1.264,4.206,0
33.60123371,4.4056,7425.9,8.46,5149.0,0.93,4.447,2
6.76652928,2.9004,450.7,1.97,5149.0,0.93,4.447,2
4.347288783,2.1024,451.6,2.36,5754.0,1.122,4.345,2
4.601811819,2.2607,755.9,2.35,4986.0,0.833,4.496,2
11.18719905,3.252,353.6,1.55,4986.0,0.833,4.496,2
4.220965778,3.0854,2260.0,2.62,3837.0,0.517,4.747,2
5.95489993,2.3892,1410.7,2.33,4261.0,0.633,4.641,2
12.03987488,2.7363,1250.6,2.18,4261.0,0.633,4.641,2
20.83762895,2.3734,439.0,1.42,4261.0,0.633,4.641,2
23.58917143,5.073,1200.7,3.16,4919.0,0.721,4.566,2
6.481633073,3.784,298.5,2.54,5945.0,1.302,4.213,2
10.37168928,3.035,1254.9,3.2,5121.0,0.888,4.457,2
3.96996298,1.1757,299.2,1.78,5121.0,0.888,4.457,2
4.40841331,5.012,549.4,2.66,6007.0,0.961,4.457,2
7.9426176,6.703,1590.7,4.68,5811.0,0.926,4.521,0
226.8904775,7.558,3136.4,4.53,5067.0,0.75,4.585,2
2.688899233,2.11275,37492.0,12.04,4820.0,0.639,4.667,1
9.439459486,2.8979,3036.1,4.16,5097.0,0.779,4.597,2
11.523067458,3.8757,507.3,3.13,5644.0,1.411,4.162,2
20.47748843,2.8364,1382.4,2.92,5097.0,0.779,4.597,2
3.336123113,1.9616,516.3,1.74,5097.0,0.779,4.597,2
8.01078456,2.312,1333.6,1.72,3713.0,0.47,4.779,2
12.07134205,4.3224,759.2,1.29,3713.0,0.47,4.779,2
20.99587872,2.6333,767.3,1.3,3713.0,0.47,4.779,2
7.41113177,2.5242,620.5,2.45,5849.0,0.919,4.517,2
1.000747038,0.9967,1823.5,4.14,5472.0,0.79,4.499,0
8.884922995,2.07004,16053.0,10.51,5332.0,0.843,4.5,2
8.09888906,4.20241,6911.1,8.95,6214.0,1.076,4.442,2
10.00653012,5.344,936.1,3.52,6063.0,1.001,4.47,2
17.855221681,7.41287,9065.2,13.16,6823.0,1.367,4.308,2
12.732624065,2.2083,6465.7,4.87,3950.0,0.541,4.721,1
83.92494032,6.7904,7958.7,4.78,3960.0,0.509,4.746,1
5.007316661,4.2362,6932.3,6.96,5865.0,0.827,4.563,2
2.211116989,1.6485,724.2,1.85,4500.0,0.646,4.656,2
27.9541337,3.95,942.5,1.9,4500.0,0.646,4.656,2
12.69104387,3.7727,252.1,2.57,5869.0,1.626,4.024,2
4.409409243,3.8636,12861.0,10.95,5600.0,0.975,4.368,0
16.23947096,4.0374,2590.7,4.14,5191.0,0.837,4.564,2
6.308201629,2.9785,1328.5,2.96,5191.0,0.837,4.564,2
2.052349884,2.0778,14281.0,13.12,5855.0,1.08,4.393,2
9.7704486,2.4517,1897.8,2.23,3906.0,0.509,4.73,2
5.169804269,2.153,1037.4,1.66,3906.0,0.509,4.73,2
21.22261195,6.5093,366.0,2.48,5945.0,1.302,4.213,2
20.09017037,4.154,1432.1,2.25,3906.0,0.509,4.73,2
7.11373257,2.1764,807.6,1.16,3561.0,0.411,4.855,2
3.306551643,1.8177,509.2,0.91,3561.0,0.411,4.855,2
15.36845737,2.4714,756.1,1.11,3561.0,0.411,4.855,2
13.81020318,3.048,1309.7,4.56,5942.0,1.142,4.327,2
4.093578461,2.5833,538.6,2.85,6077.0,0.999,4.471,2
105.145959,8.593,685.4,3.43,6077.0,0.999,4.471,2
10.8484518,2.9993,1675.6,2.34,4201.0,0.591,4.682,2
6.66833241,1.915,362.3,1.18,4201.0,0.591,4.682,2
4.082274889,3.23015,17859.0,10.55,5655.0,0.794,4.581,2
3.886655224,3.1646,581.6,1.87,5662.0,0.738,4.61,1
42.1406089,5.083,895.5,1.85,4500.0,0.646,4.656,2
4.617490562,2.2618,575.8,1.62,4500.0,0.646,4.656,2
10.19849255,2.4283,634.1,1.75,4500.0,0.646,4.656,2
5.795063956,3.2496,1692.9,4.33,5865.0,0.827,4.563,0
7.15681552,2.5882,867.0,2.47,5029.0,0.838,4.494,2
17.64830851,2.0873,763.3,2.43,5029.0,0.838,4.494,2
4.14810719,2.535,175.2,1.08,5029.0,0.838,4.494,2
16.51410989,4.1575,973.5,2.72,5527.0,0.866,4.488,2
30.1329298,5.172,1015.8,3.14,5527.0,0.866,4.488,2
4.79090809,2.603,251.3,1.36,5527.0,0.866,4.488,2
31.71981013,4.819,363.4,3.09,5869.0,1.626,4.024,2
99.6415962,4.448,952.5,2.64,5527.0,0.866,4.488,2
4.708326451,3.16114,7912.7,10.6,5560.0,1.21,4.246,2
5.392026903,2.9804,1151.4,2.68,5198.0,0.801,4.589,2
2.494170338,1.1221,863.7,2.42,5569.0,0.829,4.566,1
6.491682808,4.301,7163.3,9.66,6123.0,1.107,4.413,2
3.855603916,3.2179,16653.0,13.61,6033.0,1.046,4.46,2
3.855599139,3.183,1030.9,3.57,5936.0,0.965,4.501,0
38.47876629,5.04169,23530.0,13.26,5510.0,0.879,4.539,2
3.314947362,1.8007,1398.2,3.94,5609.0,0.944,4.481,2
6.71969089,3.0231,969.7,4.37,5931.0,0.866,4.479,0
39.6431552,6.5292,15664.0,10.98,5231.0,0.9,4.455,2
21.80451611,3.4097,1144.9,2.6,5481.0,0.708,4.629,2
10.28194593,3.4366,1110.7,2.53,5196.0,0.775,4.593,2
18.11993039,4.2309,1506.9,2.95,5196.0,0.775,4.593,2
3.78402867,1.9012,426.1,1.7,5196.0,0.775,4.593,2
5.15448142,3.228,697.5,2.94,5431.0,0.884,4.457,2
5.743469797,3.4412,1240.2,3.13,5897.0,0.891,4.531,2
39.4759093,2.968,1012.6,4.06,6225.0,1.031,4.45,1
3.166353562,3.3129,1473.4,3.82,6007.0,0.998,4.47,2
3.388012244,2.6849,280.1,2.11,5553.0,1.25,4.221,2
5.83909761,3.1915,273.6,2.06,5553.0,1.25,4.221,2
1.620467654,2.1888,159.6,1.57,5553.0,1.25,4.221,2
10.6816951,3.605,307.8,2.3,5553.0,1.25,4.221,2
6.104849417,4.6912,2090.3,3.18,5085.0,0.712,4.584,2
3.578780566,2.91089,11382.0,10.43,5524.0,0.994,4.421,2
5.826657508,2.9183,1539.1,4.09,5561.0,1.06,4.362,2
12.41216347,3.739,611.3,2.58,5561.0,1.06,4.362,2
18.74649011,3.895,796.8,3.05,5561.0,1.06,4.362,2
20.86021229,5.1937,1910.5,5.5,6035.0,1.257,4.22,2
